#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 20:13
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P2VSEL01;Všelibice;01.04.2016;31.12.2023;14.950609;50.648954;392

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Srážkomìr;01.04.2016;31.12.2023;1

PRVEK
Denní úhrn srážek [SRA.07:00, mm]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

Pøíznak;Popis
M;Úhrn mimoøádnì z manuálního srážkomìru
T;Nemìøitelné množství

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
2016;04;1;0;
2016;04;2;0;
2016;04;3;0;
2016;04;4;0;
2016;04;5;1.4;
2016;04;6;0;
2016;04;7;0;
2016;04;8;0;
2016;04;9;6;
2016;04;10;.6;
2016;04;11;0;
2016;04;12;0;
2016;04;13;4.7;
2016;04;14;1.6;
2016;04;15;.5;
2016;04;16;2.7;
2016;04;17;0;
2016;04;18;0;
2016;04;19;0;
2016;04;20;0;
2016;04;21;0;
2016;04;22;0;
2016;04;23;2.8;
2016;04;24;0;
2016;04;25;2;
2016;04;26;4.7;
2016;04;27;0;
2016;04;28;.8;
2016;04;29;0;
2016;04;30;0;
2016;05;1;0;
2016;05;2;0;
2016;05;3;.6;
2016;05;4;.7;
2016;05;5;0;
2016;05;6;0;
2016;05;7;0;
2016;05;8;0;
2016;05;9;0;
2016;05;10;0;
2016;05;11;0;
2016;05;12;2.2;
2016;05;13;.4;
2016;05;14;0;
2016;05;15;.6;
2016;05;16;.3;
2016;05;17;.2;
2016;05;18;0;
2016;05;19;0;
2016;05;20;.3;
2016;05;21;0;
2016;05;22;0;
2016;05;23;0;
2016;05;24;.2;
2016;05;25;0;
2016;05;26;0;
2016;05;27;2.6;
2016;05;28;4.5;
2016;05;29;0;
2016;05;30;10.5;
2016;05;31;0;
2016;06;1;10.5;
2016;06;2;8;
2016;06;3;3.5;
2016;06;4;0;
2016;06;5;15;
2016;06;6;0;
2016;06;7;0;
2016;06;8;0;
2016;06;9;0;
2016;06;10;0;
2016;06;11;0;
2016;06;12;0;
