#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 20:23
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
U2HRAD01;Hradèany;01.01.1961;30.06.1968;14.7194;50.6183;284

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Srážkomìr;01.01.1961;30.06.1968;1

PRVEK
Denní úhrn srážek [SRA.07:00, mm]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

Pøíznak;Popis
M;Úhrn mimoøádnì z manuálního srážkomìru
T;Nemìøitelné množství

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1961;01;1;.3;
1961;01;2;0;
1961;01;3;0;T
1961;01;4;.2;
1961;01;5;1.4;
1961;01;6;0;T
1961;01;7;3.1;
1961;01;8;.6;
1961;01;9;2.4;
1961;01;10;0;
1961;01;11;.5;
1961;01;12;0;
1961;01;13;0;
1961;01;14;2.4;
1961;01;15;0;
1961;01;16;0;
1961;01;17;0;
1961;01;18;0;
1961;01;19;0;
1961;01;20;0;
1961;01;21;0;
1961;01;22;.1;
1961;01;23;1.9;
1961;01;24;0;T
1961;01;25;0;
1961;01;26;0;
1961;01;27;0;
1961;01;28;0;
1961;01;29;0;
1961;01;30;3.2;
1961;01;31;7;
1961;02;1;5.7;
1961;02;2;.9;
1961;02;3;1.3;
1961;02;4;3.8;
1961;02;5;.5;
1961;02;6;2.1;
1961;02;7;1.3;
1961;02;8;6.1;
1961;02;9;15.4;
1961;02;10;0;T
1961;02;11;6.6;
1961;02;12;1.6;
1961;02;13;1.2;
1961;02;14;0;T
1961;02;15;0;T
1961;02;16;0;
1961;02;17;0;
1961;02;18;0;
1961;02;19;1.2;
1961;02;20;0;
1961;02;21;0;
1961;02;22;0;
1961;02;23;0;
1961;02;24;0;
1961;02;25;0;
1961;02;26;0;
1961;02;27;1.2;
1961;02;28;3.7;
1961;03;1;.5;
1961;03;2;3.8;
1961;03;3;2.3;
1961;03;4;0;
1961;03;5;0;
1961;03;6;0;
1961;03;7;0;
1961;03;8;0;
1961;03;9;0;
1961;03;10;0;
1961;03;11;0;
1961;03;12;6.8;
1961;03;13;4.5;
1961;03;14;2.3;
1961;03;15;.1;
1961;03;16;0;
1961;03;17;0;
1961;03;18;.4;
1961;03;19;.3;
1961;03;20;2;
1961;03;21;3.1;
1961;03;22;2;
1961;03;23;.7;
1961;03;24;0;
1961;03;25;0;
1961;03;26;.5;
1961;03;27;.9;
1961;03;28;3;
1961;03;29;2.6;
1961;03;30;4.3;
1961;03;31;0;T
1961;04;1;1.6;
1961;04;2;6.1;
1961;04;3;5.1;
1961;04;4;1.6;
1961;04;5;0;T
1961;04;6;0;
1961;04;7;2.1;
1961;04;8;5.6;
1961;04;9;0;
1961;04;10;0;T
1961;04;11;0;
1961;04;12;0;
1961;04;13;0;
1961;04;14;1.3;
1961;04;15;5.6;
1961;04;16;1.7;
1961;04;17;0;
1961;04;18;0;T
1961;04;19;0;
1961;04;20;0;
1961;04;21;0;
1961;04;22;0;
1961;04;23;0;
1961;04;24;0;
1961;04;25;0;
1961;04;26;7.2;
1961;04;27;11;
1961;04;28;0;
1961;04;29;9.1;
1961;04;30;.2;
1961;05;1;0;T
1961;05;2;0;
1961;05;3;6.5;
1961;05;4;0;
1961;05;5;5.9;
1961;05;6;.6;
1961;05;7;1.4;
1961;05;8;8.3;
1961;05;9;17.5;
1961;05;10;3.1;
1961;05;11;.2;
1961;05;12;3.4;
1961;05;13;1.8;
1961;05;14;0;T
1961;05;15;.3;
1961;05;16;1.1;
1961;05;17;.2;
1961;05;18;0;
1961;05;19;0;
1961;05;20;2;
1961;05;21;4.1;
1961;05;22;0;
1961;05;23;0;
1961;05;24;0;
1961;05;25;0;
1961;05;26;4.9;
1961;05;27;19.4;
1961;05;28;1;
1961;05;29;27;
1961;05;30;1.9;
1961;05;31;0;T
1961;06;1;.6;
1961;06;2;0;
1961;06;3;4.2;
1961;06;4;21.5;
1961;06;5;.2;
1961;06;6;1.9;
1961;06;7;7;
1961;06;8;0;
1961;06;9;0;
1961;06;10;.4;
1961;06;11;.2;
1961;06;12;.4;
1961;06;13;7;
1961;06;14;2.6;
1961;06;15;0;
1961;06;16;0;
1961;06;17;0;
1961;06;18;0;T
1961;06;19;.5;
1961;06;20;0;
1961;06;21;0;
1961;06;22;5;
1961;06;23;0;
1961;06;24;0;
1961;06;25;0;
1961;06;26;.3;
1961;06;27;5.5;
1961;06;28;0;
1961;06;29;0;
1961;06;30;0;
1961;07;1;0;
1961;07;2;0;
1961;07;3;0;
1961;07;4;1.1;
1961;07;5;4.7;
1961;07;6;0;T
1961;07;7;0;
1961;07;8;6.3;
1961;07;9;11.2;
1961;07;10;.2;
1961;07;11;1.1;
1961;07;12;0;
1961;07;13;5.8;
1961;07;14;.1;
1961;07;15;1.3;
1961;07;16;2.7;
1961;07;17;6.3;
1961;07;18;2.1;
1961;07;19;0;T
1961;07;20;5.9;
1961;07;21;.2;
1961;07;22;.1;
1961;07;23;0;
1961;07;24;0;
1961;07;25;0;
1961;07;26;.6;
1961;07;27;24.3;
1961;07;28;17.5;
1961;07;29;0;T
1961;07;30;0;
1961;07;31;0;
1961;08;1;0;
1961;08;2;7.8;
1961;08;3;0;T
1961;08;4;1;
1961;08;5;1.3;
1961;08;6;5;
1961;08;7;.3;
1961;08;8;0;T
1961;08;9;2.5;
1961;08;10;5.9;
1961;08;11;10;
1961;08;12;.8;
1961;08;13;0;T
1961;08;14;2.8;
1961;08;15;1.8;
1961;08;16;.9;
1961;08;17;3.9;
1961;08;18;5.6;
1961;08;19;.7;
1961;08;20;2.1;
1961;08;21;.6;
1961;08;22;4.4;
1961;08;23;1.1;
1961;08;24;0;
1961;08;25;2.6;
1961;08;26;0;
1961;08;27;0;
1961;08;28;0;
1961;08;29;0;
1961;08;30;0;
1961;08;31;0;
1961;09;1;0;
1961;09;2;0;
1961;09;3;3.6;
1961;09;4;.6;
1961;09;5;13.5;
1961;09;6;2.3;
1961;09;7;2.1;
1961;09;8;2.9;
1961;09;9;.4;
1961;09;10;0;T
1961;09;11;0;
1961;09;12;2.7;
1961;09;13;.5;
1961;09;14;7;
1961;09;15;0;
1961;09;16;0;
1961;09;17;0;
1961;09;18;0;
1961;09;19;0;
1961;09;20;0;
1961;09;21;0;
1961;09;22;0;
1961;09;23;0;
1961;09;24;0;
1961;09;25;0;
1961;09;26;.1;
1961;09;27;0;
1961;09;28;0;
1961;09;29;0;
1961;09;30;0;
1961;10;1;0;
1961;10;2;0;
1961;10;3;0;T
1961;10;4;0;
1961;10;5;0;
1961;10;6;0;
1961;10;7;0;T
1961;10;8;4.5;
1961;10;9;0;
1961;10;10;0;
1961;10;11;0;
1961;10;12;0;
1961;10;13;0;
1961;10;14;0;
1961;10;15;0;
1961;10;16;0;
1961;10;17;3.3;
1961;10;18;7.3;
1961;10;19;0;
1961;10;20;7.6;
1961;10;21;9.4;
1961;10;22;0;
1961;10;23;1.1;
1961;10;24;0;
1961;10;25;2.3;
1961;10;26;.2;
